"Title";"ISSN";"Database Name";"Database Producer";"Citation Begin Year";"Citation Begin Volume";"Citation Begin Issue";"Citation Most Recent Year";"Citation Most Recent Volume";"Citation Most Recent Issue";"Fulltext Begin Year";"Fulltext Begin Volume";"Fulltext Begin Issue";"Fulltext Most Recent Year";"Fulltext Most Recent Volume";"Fulltext Most Recent Issue";"Total Number of Issues";"Total Number of Fulltext Issues"
"Conservation Biology";"0888-8892";"Art Index";"H. W. Wilson Company";"2005";"19";"3";"2005";"19";"3";"0";"0";"0";"0";"0";"0";"1";"0"
"Contemporary Impressions";"1066-9434";"Art Index";"H. W. Wilson Company";"1998";"6";"1";"2008";"16";"2";"0";"0";"0";"0";"0";"0";"25";"0"
"Contract (San Francisco, Calif.: 2000)";"1053-5632";"Art Index";"H. W. Wilson Company";"1998";"40";"3";"2005";"47";"11";"0";"0";"0";"0";"0";"0";"92";"0"
"Contract (San Francisco, Calif.: 2000)";"1530-6224";"Art Index";"H. W. Wilson Company";"2000";"0";"1";"2009";"51";"6";"0";"0";"0";"0";"0";"0";"154";"0"
"Costume";"0590-8876";"Art Index";"H. W. Wilson Company";"1998";"0";"32";"2008";"0";"42";"0";"0";"0";"0";"0";"0";"13";"0"
"Craft Arts International";"1038-846X";"Art Index";"H. W. Wilson Company";"2003";"0";"57";"2009";"0";"75";"0";"0";"0";"0";"0";"0";"27";"0"
"Craft International";"1044-4009";"Art Index";"H. W. Wilson Company";"1985";"0";"250";"1988";"218";"0";"0";"0";"0";"0";"0";"0";"15";"0"
"Crafts (London, England)";"0306-610X";"Art Index";"H. W. Wilson Company";"1984";"0";"69";"2009";"0";"218";"0";"0";"0";"0";"0";"0";"240";"0"
"Crafts Report";"0160-7650";"Art Index";"H. W. Wilson Company";"1998";"24";"0";"2009";"35";"0";"0";"0";"0";"0";"0";"0";"110";"0"
"Creative Review";"0262-1037";"Art Index";"H. W. Wilson Company";"1994";"14";"0";"2009";"29";"5";"0";"0";"0";"0";"0";"0";"190";"0"
"CRM";"1068-4999";"Art Index";"H. W. Wilson Company";"2005";"2";"2";"2008";"5";"2";"0";"0";"0";"0";"0";"0";"7";"0"
"Crop Science";"0011-183X";"Art Index";"H. W. Wilson Company";"2007";"47";"5";"2007";"47";"5";"0";"0";"0";"0";"0";"0";"1";"0"
"Cuadernos de Arte de la Universidad de Granada";"0210-962X";"Art Index";"H. W. Wilson Company";"1996";"0";"27";"2007";"0";"38";"0";"0";"0";"0";"0";"0";"17";"0"
"Curator";"0011-3069";"Art Index";"H. W. Wilson Company";"1986";"0";"82";"2009";"52";"2";"0";"0";"0";"0";"0";"0";"99";"0"
"Das Kunstwerk";"0023-561X";"Art Index";"H. W. Wilson Company";"1984";"0";"432";"1989";"42";"0";"0";"0";"0";"0";"0";"0";"41";"0"
"Das Munster";"0027-299X";"Art Index";"H. W. Wilson Company";"2003";"0";"91";"2009";"62";"1";"0";"0";"0";"0";"0";"0";"35";"0"
"Design";"0011-9253";"Art Index";"H. W. Wilson Company";"1984";"0";"426";"1994";"0";"545";"0";"0";"0";"0";"0";"0";"100";"0"
"Design Book Review";"0737-5344";"Art Index";"H. W. Wilson Company";"1994";"0";"31";"2001";"0";"44/45";"0";"0";"0";"0";"0";"0";"10";"0"
"Design for Arts in Education";"0732-0973";"Art Index";"H. W. Wilson Company";"1984";"0";"431";"1984";"86";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Design Issues";"0747-9360";"Art Index";"H. W. Wilson Company";"1994";"10";"0";"2009";"25";"2";"0";"0";"0";"0";"0";"0";"62";"0"
"Design Magazine";"0011-9245";"Art Index";"H. W. Wilson Company";"1984";"0";"239";"1994";"0";"545";"0";"0";"0";"0";"0";"0";"233";"0"
"Design Quarterly";"0011-9415";"Art Index";"H. W. Wilson Company";"1984";"0";"125";"1996";"23";"0";"0";"0";"0";"0";"0";"0";"75";"0"
"Design Studies";"0142-694X";"Art Index";"H. W. Wilson Company";"1994";"15";"0";"2009";"30";"3";"0";"0";"0";"0";"0";"0";"89";"0"
"Die Kunst";"0341-1974";"Art Index";"H. W. Wilson Company";"1986";"0";"453";"1988";"0";"691";"0";"0";"0";"0";"0";"0";"57";"0"
"Document";"0389-0066";"Art Index";"H. W. Wilson Company";"1985";"0";"0";"2008";"0";"106";"0";"0";"0";"0";"0";"0";"128";"0"
"Domus";"0012-5377";"Art Index";"H. W. Wilson Company";"1984";"0";"363";"2009";"0";"926";"0";"0";"0";"0";"0";"0";"442";"0"
"DPICT";"0011-0876";"Art Index";"H. W. Wilson Company";"1984";"0";"71";"2001";"0";"7";"0";"0";"0";"0";"0";"0";"207";"0"
"DPICT";"1470-1995";"Art Index";"H. W. Wilson Company";"2000";"0";"1";"2001";"0";"7";"0";"0";"0";"0";"0";"0";"16";"0"
"Drawing";"0191-6963";"Art Index";"H. W. Wilson Company";"1986";"0";"1";"1998";"20";"2";"0";"0";"0";"0";"0";"0";"73";"0"
"Drawing (Interweave Press)";"";"Art Index";"H. W. Wilson Company";"2006";"3";"8";"2009";"6";"20";"0";"0";"0";"0";"0";"0";"13";"0"
"Drawing (VNU Business Media)";"";"Art Index";"H. W. Wilson Company";"2006";"3";"8";"2008";"5";"19";"0";"0";"0";"0";"0";"0";"12";"0"
"Dress";"0361-2112";"Art Index";"H. W. Wilson Company";"1997";"24";"0";"2006";"33";"0";"0";"0";"0";"0";"0";"0";"13";"0"
"Du";"0012-6837";"Art Index";"H. W. Wilson Company";"1984";"0";"5";"1997";"0";"12";"0";"0";"0";"0";"0";"0";"274";"0"
"Dumbarton Oaks Papers";"0070-7546";"Art Index";"H. W. Wilson Company";"1997";"0";"51";"2007";"0";"61";"0";"0";"0";"0";"0";"0";"17";"0"
"El Croquis";"0212-5683";"Art Index";"H. W. Wilson Company";"2003";"0";"5";"2009";"144";"1";"0";"0";"0";"0";"0";"0";"42";"0"
"Emigre";"1045-3717";"Art Index";"H. W. Wilson Company";"1998";"0";"45";"2005";"0";"69";"0";"0";"0";"0";"0";"0";"34";"0"
"Entertainment Design";"1520-5150";"Art Index";"H. W. Wilson Company";"1999";"33";"1";"2005";"39";"11";"0";"0";"0";"0";"0";"0";"121";"0"
"ETC (Montreal, Quebec)";"0835-7641";"Art Index";"H. W. Wilson Company";"2007";"0";"76";"2009";"0";"84";"0";"0";"0";"0";"0";"0";"9";"0"
"Ethnohistory";"0014-1801";"Art Index";"H. W. Wilson Company";"2008";"55";"3";"2008";"55";"3";"0";"0";"0";"0";"0";"0";"1";"0"
"European Comic Art";"1754-3797";"Art Index";"H. W. Wilson Company";"2008";"1";"1";"2009";"2";"1";"0";"0";"0";"0";"0";"0";"3";"0"
"European Journal of Archaeology";"1461-9571";"Art Index";"H. W. Wilson Company";"2003";"0";"1";"2008";"11";"1";"0";"0";"0";"0";"0";"0";"20";"0"
"European Photography";"0172-7028";"Art Index";"H. W. Wilson Company";"1994";"15";"0";"2008";"29";"84";"0";"0";"0";"0";"0";"0";"33";"0"
"Expedition";"0014-4738";"Art Index";"H. W. Wilson Company";"1984";"26";"0";"1992";"34";"1-2";"0";"0";"0";"0";"0";"0";"59";"0"
"Exposure";"0098-8863";"Art Index";"H. W. Wilson Company";"1995";"30";"1-2";"2009";"42";"1";"0";"0";"0";"0";"0";"0";"28";"0"
"Eye (Croydon, England)";"0960-779X";"Art Index";"H. W. Wilson Company";"2003";"0";"0";"2008";"18";"70";"0";"0";"0";"0";"0";"0";"32";"0"
"Fabrications";"1033-1867";"Art Index";"H. W. Wilson Company";"2007";"17";"1";"2008";"18";"2";"0";"0";"0";"0";"0";"0";"4";"0"
"Fashion Theory";"1362-704X";"Art Index";"H. W. Wilson Company";"1997";"1";"3";"2009";"13";"2";"0";"0";"0";"0";"0";"0";"54";"0"
"Fiberarts";"0164-324X";"Art Index";"H. W. Wilson Company";"1984";"0";"655";"2009";"36";"1";"0";"0";"0";"0";"0";"0";"143";"0"
"Files";"0261-6823";"Art Index";"H. W. Wilson Company";"1998";"0";"35";"2009";"0";"58";"0";"0";"0";"0";"0";"0";"32";"0"
"Film & History";"0360-3695";"Art Index";"H. W. Wilson Company";"2003";"4";"0";"2009";"39";"1";"0";"0";"0";"0";"0";"0";"14";"0"
"Film Comment";"0015-119X";"Art Index";"H. W. Wilson Company";"1984";"0";"362";"2009";"45";"4";"0";"0";"0";"0";"0";"0";"153";"0"
"Film Criticism";"0163-5069";"Art Index";"H. W. Wilson Company";"1993";"18";"0";"2008";"33";"1";"0";"0";"0";"0";"0";"0";"48";"0"
"Film Culture";"0015-1211";"Art Index";"H. W. Wilson Company";"1985";"21";"0";"1985";"72-75";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Film History (Bloomington, IN)";"0892-2160";"Art Index";"H. W. Wilson Company";"2004";"16";"1";"2008";"20";"4";"0";"0";"0";"0";"0";"0";"19";"0"
"Film International";"1651-6826";"Art Index";"H. W. Wilson Company";"2006";"4";"2";"2009";"7";"2";"0";"0";"0";"0";"0";"0";"15";"0"
"Film Journal International";"1526-9884";"Art Index";"H. W. Wilson Company";"2008";"111";"10";"2009";"112";"7";"0";"0";"0";"0";"0";"0";"10";"0"
"Film Quarterly";"0015-1386";"Art Index";"H. W. Wilson Company";"1984";"24";"0";"2009";"62";"3";"0";"0";"0";"0";"0";"0";"121";"0"
"Film Studies";"1469-0314";"Art Index";"H. W. Wilson Company";"2006";"0";"8";"2007";"0";"11";"0";"0";"0";"0";"0";"0";"3";"0"
"Films & Filming";"0015-167X";"Art Index";"H. W. Wilson Company";"1984";" ";" ";"1985";"72-75";"0";"0";"0";"0";"0";"0";"0";"16";"0"
"Films in Review";"0015-1688";"Art Index";"H. W. Wilson Company";"1984";"0";"0";"1997";"48";"0";"0";"0";"0";"0";"0";"0";"101";"0"
"Fine Print";"0361-3801";"Art Index";"H. W. Wilson Company";"1986";"0";"56";"1990";"16";"0";"0";"0";"0";"0";"0";"0";"24";"0"
"Fine Woodworking";"0361-3453";"Art Index";"H. W. Wilson Company";"1984";"0";"47";"2009";"0";"205";"0";"0";"0";"0";"0";"0";"241";"0"
"Flash Art (International Edition)";"0394-1493";"Art Index";"H. W. Wilson Company";"0";"0";"0";"2008";"41";"0";"0";"0";"0";"0";"0";"0";"220";"0"
"FMR";"0747-6388";"Art Index";"H. W. Wilson Company";"1994";"14";"0";"2007";"0";"21";"0";"0";"0";"0";"0";"0";"95";"0"
"FMR (Black Edition)";"0394-0462";"Art Index";"H. W. Wilson Company";"1994";"14";"0";"2008";"0";"28";"0";"0";"0";"0";"0";"0";"73";"0"
"FMR (White Edition)";"1974-5338";"Art Index";"H. W. Wilson Company";"2008";"0";"1";"2009";"0";"8";"0";"0";"0";"0";"0";"0";"8";"0"
"Folk Art";"1067-3067";"Art Index";"H. W. Wilson Company";"1992";"0";"154";"2008";"33";"3";"0";"0";"0";"0";"0";"0";"61";"0"
"Folk Art Messenger";"1043-5026";"Art Index";"H. W. Wilson Company";"2002";"0";"102";"2009";"21";"1";"0";"0";"0";"0";"0";"0";"24";"0"
"Form Function Finland";"0358-8904";"Art Index";"H. W. Wilson Company";"1998";"0";"69";"2005";"0";"97";"0";"0";"0";"0";"0";"0";"41";"0"
"Forum (Amsterdam, Netherlands: 1984)";"0015-8372";"Art Index";"H. W. Wilson Company";"1995";"38";"0";"1999";"40";"3";"0";"0";"0";"0";"0";"0";"5";"0"
"Forum (Amsterdam, Netherlands: 1984)";"0169-3433";"Art Index";"H. W. Wilson Company";"1995";"38";"0";"1995";"38";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Framework";"0306-7661";"Art Index";"H. W. Wilson Company";"1997";"8";"2";"1997";"8";"2";"0";"0";"0";"0";"0";"0";"1";"0"
"Furniture History";"0016-3058";"Art Index";"H. W. Wilson Company";"1986";"0";"0";"2008";"44";"0";"0";"0";"0";"0";"0";"0";"40";"0"
"Future Anterior";"1549-9715";"Art Index";"H. W. Wilson Company";"2007";"4";"1";"2008";"5";"1";"0";"0";"0";"0";"0";"0";"3";"0"
"Garden Design";"0733-4923";"Art Index";"H. W. Wilson Company";"1994";"0";"0";"2046";"0";"145";"0";"0";"0";"0";"0";"0";"113";"0"
"Gastronomica (Berkeley, Calif.)";"1529-3262";"Art Index";"H. W. Wilson Company";"2009";"9";"1";"2009";"9";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Gazette des Beaux-Arts";"0016-5530";"Art Index";"H. W. Wilson Company";"1596";"139";"1595";"2002";"140";"0";"0";"0";"0";"0";"0";"0";"175";"0"
"Gesta";"0016-920X";"Art Index";"H. W. Wilson Company";"1980";"19";"2";"2008";"47";"1";"0";"0";"0";"0";"0";"0";"76";"0"
"Glass (New York, N.Y.)";"1064-900X";"Art Index";"H. W. Wilson Company";"1997";"0";"69";"2009";"0";"115";"0";"0";"0";"0";"0";"0";"64";"0"
"Glass Magazine";"0747-4261";"Art Index";"H. W. Wilson Company";"1994";"44";"0";"2000";"50";"2";"0";"0";"0";"0";"0";"0";"44";"0"
"Glass on Metal";"1083-6888";"Art Index";"H. W. Wilson Company";"2003";"0";"206";"2009";"28";"2";"0";"0";"0";"0";"0";"0";"39";"0"
"Global Architecture";"";"Art Index";"H. W. Wilson Company";"1993";"0";"69";"1993";"0";"69";"0";"0";"0";"0";"0";"0";"1";"0"
"Goya";"0017-2715";"Art Index";"H. W. Wilson Company";"1984";"0";"0";"2009";"0";"326";"0";"0";"0";"0";"0";"0";"173";"0"
"Graphic Design";"0533-6775";"Art Index";"H. W. Wilson Company";"1984";"0";"0";"1986";"0";"100";"0";"0";"0";"0";"0";"0";"15";"0"
"Graphis";"0017-3452";"Art Index";"H. W. Wilson Company";"1950";"49";"0";"2004";"60";"0";"0";"0";"0";"0";"0";"0";"125";"0"
"Green Places";"1742-3716";"Art Index";"H. W. Wilson Company";"2003";"0";"1";"2008";"46";"0";"0";"0";"0";"0";"0";"0";"52";"0"
"Grey Room";"1526-3819";"Art Index";"H. W. Wilson Company";"2002";"0";"9";"2009";"0";"35";"0";"0";"0";"0";"0";"0";"32";"0"
"Hali";"0142-0798";"Art Index";"H. W. Wilson Company";"1994";"16";"0";"2009";"0";"159";"0";"0";"0";"0";"0";"0";"104";"0"
"Hand Papermaking";"0887-1418";"Art Index";"H. W. Wilson Company";"1998";"13";"1";"2009";"24";"1";"0";"0";"0";"0";"0";"0";"30";"0"
"Harvard Design Magazine";"1093-4421";"Art Index";"H. W. Wilson Company";"2003";"0";"18";"2009";"0";"30";"0";"0";"0";"0";"0";"0";"18";"0"
"Harvard University Art Museums Bulletin";"";"Art Index";"H. W. Wilson Company";"1996";"6";"1";"1996";"6";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Harvard University Art Museums Bulletin";"1065-6448";"Art Index";"H. W. Wilson Company";"1996";"6";"1";"2000";"7";"2";"0";"0";"0";"0";"0";"0";"5";"0"
"Hephaistos";"0174-2086";"Art Index";"H. W. Wilson Company";"1980";"2";"0";"2005";"23";"0";"0";"0";"0";"0";"0";"0";"16";"0"
"Heresies";"0146-3411";"Art Index";"H. W. Wilson Company";"1987";"6";"1";"1998";"6";"0";"0";"0";"0";"0";"0";"0";"17";"0"
"Hesperia";"0018-098X";"Art Index";"H. W. Wilson Company";"1983";"52";"0";"2009";"78";"1";"0";"0";"0";"0";"0";"0";"97";"0"
"High Performance";"0160-9769";"Art Index";"H. W. Wilson Company";"1985";"8";"2";"1998";"5";"0";"0";"0";"0";"0";"0";"0";"66";"0"
"Historic Preservation";"0018-2419";"Art Index";"H. W. Wilson Company";"1984";"36";"0";"2005";"57";"6";"0";"0";"0";"0";"0";"0";"99";"0"
"History of Photography";"0308-7298";"Art Index";"H. W. Wilson Company";"1984";"8";"0";"2009";"33";"2";"0";"0";"0";"0";"0";"0";"114";"0"
"Home Cultures";"1740-6315";"Art Index";"H. W. Wilson Company";"2004";"1";"1";"2009";"6";"1";"0";"0";"0";"0";"0";"0";"16";"0"
"Hospitality Design";"1062-9254";"Art Index";"H. W. Wilson Company";"2008";"30";"8";"2009";"31";"4";"0";"0";"0";"0";"0";"0";"7";"0"
"ID (New York, N.Y.)";"0894-5373";"Art Index";"H. W. Wilson Company";"1988";"35";"0";"2041";"41";"0";"0";"0";"0";"0";"0";"0";"141";"0"
"IFAR Journal";"1098-1195";"Art Index";"H. W. Wilson Company";"2002";"5";"3";"2008";"10";"2";"0";"0";"0";"0";"0";"0";"22";"0"
"Image (Rochester, N.Y.)";"0536-5465";"Art Index";"H. W. Wilson Company";"1984";"27";"0";"2009";"47";"1";"0";"0";"0";"0";"0";"0";"42";"0"
"Impressions";"1095-2136";"Art Index";"H. W. Wilson Company";"2002";"0";"24";"2009";"30";"0";"0";"0";"0";"0";"0";"0";"10";"0"
"Industrial Design";"0883-8267";"Art Index";"H. W. Wilson Company";"1984";"0";"0";"1988";"59";"0";"0";"0";"0";"0";"0";"0";"24";"0"
"Inland Architect";"0020-1472";"Art Index";"H. W. Wilson Company";"1994";"38";"0";"2000";"117";"1";"0";"0";"0";"0";"0";"0";"16";"0"
"Interior Design (New York, N.Y.)";"0020-5508";"Art Index";"H. W. Wilson Company";"1984";"27";"0";"2009";"80";"8";"0";"0";"0";"0";"0";"0";"272";"0"
"Interiors & Sources";"1059-5287";"Art Index";"H. W. Wilson Company";"1998";"7";"0";"2002";"9";"7";"0";"0";"0";"0";"0";"0";"52";"0"
"Interiors & Sources (2004)";"";"Art Index";"H. W. Wilson Company";"0";"0";"0";"2009";"16";"5";"0";"0";"0";"0";"0";"0";"50";"0"
"Interiors (New York, N.Y.)";"0164-8470";"Art Index";"H. W. Wilson Company";"1984";"43";"0";"2001";"161";"2";"0";"0";"0";"0";"0";"0";"140";"0"
"International Journal of Historical Archaeology";"1092-7697";"Art Index";"H. W. Wilson Company";"2005";"9";"1";"2009";"13";"1";"0";"0";"0";"0";"0";"0";"17";"0"
"International Journal of Museum Management and Curatorship";"0260-4779";"Art Index";"H. W. Wilson Company";"1986";"5";"0";"1989";"149";"0";"0";"0";"0";"0";"0";"0";"17";"0"
"International Review of African American Art";"1045-0920";"Art Index";"H. W. Wilson Company";"1993";"11";"1";"2008";"22";"2";"0";"0";"0";"0";"0";"0";"53";"0"
"International Textiles";"0020-8914";"Art Index";"H. W. Wilson Company";"1997";"0";"789";"2007";"0";"858";"0";"0";"0";"0";"0";"0";"91";"0"
"Inuit Art Quarterly";"0831-6708";"Art Index";"H. W. Wilson Company";"1994";"9";"0";"2009";"24";"2";"0";"0";"0";"0";"0";"0";"64";"0"
"Irish Arts Review (Dublin, Ireland)";"1649-217X";"Art Index";"H. W. Wilson Company";"2002";"15";"3";"2009";"26";"2";"0";"0";"0";"0";"0";"0";"32";"0"
"Irish Arts Review Yearbook";"0791-3540";"Art Index";"H. W. Wilson Company";"1998";"14";"0";"2002";"18";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"IS Magazine";"1542-4219";"Art Index";"H. W. Wilson Company";"2002";"9";"6";"2004";"10";"9";"0";"0";"0";"0";"0";"0";"31";"0"
"Israel Exploration Journal";"0021-2059";"Art Index";"H. W. Wilson Company";"1998";"48";"1/2";"2008";"58";"2";"0";"0";"0";"0";"0";"0";"27";"0"
"Issues in Architecture, Art and Design";"0960-8648";"Art Index";"H. W. Wilson Company";"1997";"5";"1";"1999";"6";"1";"0";"0";"0";"0";"0";"0";"3";"0"
"J. Paul Getty Museum Journal";"0362-1979";"Art Index";"H. W. Wilson Company";"1993";"21";"0";"1996";"24";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"JAB (Journal of Artists' Books)";"1085-1461";"Art Index";"H. W. Wilson Company";"1997";" ";" ";"2003";"20";"3";"0";"0";"0";"0";"0";"0";"19";"0"
"Jahrbuch der Berliner Museen";"0075-2207";"Art Index";"H. W. Wilson Company";"1983";"25";"0";"2045";"0";"0";"0";"0";"0";"0";"0";"0";"43";"0"
"Jahrbuch der Kunsthistorischen Sammlungen in Wien";"0075-2312";"Art Index";"H. W. Wilson Company";"1979";"75";"0";"1996";"92";"0";"0";"0";"0";"0";"0";"0";"21";"0"
"Jahrbuch des Deutschen Arch?aologischen Instituts";"0070-4415";"Art Index";"H. W. Wilson Company";"1985";"60";"0";"2007";"122";"0";"0";"0";"0";"0";"0";"0";"42";"0"
"Jahrbuch des Kunsthistorischen Museums Wien";"";"Art Index";"H. W. Wilson Company";"2001";"2";"0";"2008";"10";"0";"0";"0";"0";"0";"0";"0";"6";"0"
"Japan Architect";"0448-8512";"Art Index";"H. W. Wilson Company";"1984";"30";"0";"2040";"40";"0";"0";"0";"0";"0";"0";"0";"160";"0"
"Jewish Art";"0792-0660";"Art Index";"H. W. Wilson Company";"1986";"9";"1";"1997";"23/24";"0";"0";"0";"0";"0";"0";"0";"18";"0"
"Jong Holland";"0168-9193";"Art Index";"H. W. Wilson Company";"1984";"23";"1";"2007";"23";"1";"0";"0";"0";"0";"0";"0";"23";"0"
"Journal (Glass Art Society)";"0278-9426";"Art Index";"H. W. Wilson Company";"2001";" ";" ";"2007";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0"
"Journal of Aesthetic Education";"0021-8510";"Art Index";"H. W. Wilson Company";"1986";"0";"129";"2009";"43";"2";"0";"0";"0";"0";"0";"0";"103";"0"
"Journal of Aesthetics and Art Criticism";"0021-8529";"Art Index";"H. W. Wilson Company";"1979";"38";"2";"2040";"40";"0";"0";"0";"0";"0";"0";"0";"116";"0"
"Journal of Architectural and Planning Research";"0738-0895";"Art Index";"H. W. Wilson Company";"1998";"15";"1";"2009";"26";"1";"0";"0";"0";"0";"0";"0";"55";"0"
"Journal of Architectural Conservation";"1355-6207";"Art Index";"H. W. Wilson Company";"2003";"0";"0";"2009";"15";"1";"0";"0";"0";"0";"0";"0";"25";"0"
"Journal of Architectural Education";"1046-4883";"Art Index";"H. W. Wilson Company";"1983";"36";"0";"2040";"40";"0";"0";"0";"0";"0";"0";"0";"90";"0"
"Journal of Canadian Art History";"0315-4297";"Art Index";"H. W. Wilson Company";"1984";"8";"1";"2040";"40";"0";"0";"0";"0";"0";"0";"0";"54";"0"
"Journal of Chinese Cinemas";"1750-8061";"Art Index";"H. W. Wilson Company";"2007";"1";"1";"2009";"3";"1";"0";"0";"0";"0";"0";"0";"7";"0"
"Journal of Contemporary Art";"0897-2400";"Art Index";"H. W. Wilson Company";"1993";"6";"0";"1995";"7";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Journal of Decorative and Propaganda Arts";"0888-7314";"Art Index";"H. W. Wilson Company";"1996";"22";"0";"2005";"25";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"Journal of Design History";"0952-4649";"Art Index";"H. W. Wilson Company";"1994";"7";"1";"2009";"22";"2";"0";"0";"0";"0";"0";"0";"72";"0"
"Journal of Egyptian Archaeology";"0075-4234";"Art Index";"H. W. Wilson Company";"1982";"68";"0";"2008";"94";"0";"0";"0";"0";"0";"0";"0";"50";"0"
"Journal of Field Archaeology";"0093-4690";"Art Index";"H. W. Wilson Company";"1986";"13";"0";"2009";"34";"1";"0";"0";"0";"0";"0";"0";"76";"0"
"Journal of Film and Video";"0742-4671";"Art Index";"H. W. Wilson Company";"2003";"4";"2";"2009";"61";"2";"0";"0";"0";"0";"0";"0";"22";"0"
"Journal of Garden History";"0144-5170";"Art Index";"H. W. Wilson Company";"1986";"0";"244";"1997";"17";"0";"0";"0";"0";"0";"0";"0";"44";"0"
"Journal of Glass Studies";"0075-4250";"Art Index";"H. W. Wilson Company";"1984";"26";"0";"2008";"50";"0";"0";"0";"0";"0";"0";"0";"42";"0"
"Journal of Interior Design";"1071-7641";"Art Index";"H. W. Wilson Company";"2002";"28";"1";"2006";"32";"1";"0";"0";"0";"0";"0";"0";"11";"0"
"Journal of Maritime Archaeology";"1557-2285";"Art Index";"H. W. Wilson Company";"2006";"1";"1";"2008";"3";"2";"0";"0";"0";"0";"0";"0";"6";"0"
"Journal of Media Practice";"1468-2753";"Art Index";"H. W. Wilson Company";"2005";"6";"1";"2009";"10";"1";"0";"0";"0";"0";"0";"0";"12";"0"
"Journal of Popular Film and Television";"0195-6051";"Art Index";"H. W. Wilson Company";"1984";"12";"0";"2009";"36";"4";"0";"0";"0";"0";"0";"0";"69";"0"
"Journal of Roman Archaeology";"1047-7594";"Art Index";"H. W. Wilson Company";"1994";"7";"0";"2008";"21";"0";"0";"0";"0";"0";"0";"0";"22";"0"
"Journal of Stained Glass";"";"Art Index";"H. W. Wilson Company";"2004";"28";"0";"2004";"28";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Journal of the American Planning Association";"0194-4363";"Art Index";"H. W. Wilson Company";"1984";"22";"0";"1993";"59";"0";"0";"0";"0";"0";"0";"0";"33";"0"
"Journal of the History of Collections";"0954-6650";"Art Index";"H. W. Wilson Company";"1992";"4";"1";"2009";"21";"1";"0";"0";"0";"0";"0";"0";"40";"0"
"Journal of the Museum of Fine Arts, Boston";"1041-2433";"Art Index";"H. W. Wilson Company";"1993";"5";"0";"1994";"6";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Journal of the Society of Architectural Historians";"0037-9808";"Art Index";"H. W. Wilson Company";"1984";"0";"236";"2009";"68";"2";"0";"0";"0";"0";"0";"0";"109";"0"
"Journal of the Walters Art Museum";"1946-0988";"Art Index";"H. W. Wilson Company";"2000";"58";"0";"2004";"62";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Journal of the Walters Art Museum";"";"Art Index";"H. W. Wilson Company";"2000";"58";"0";"2004";"62";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Journal of the Warburg and Courtauld Institutes";"0075-4390";"Art Index";"H. W. Wilson Company";"1984";"47";"0";"2008";"71";"0";"0";"0";"0";"0";"0";"0";"45";"0"
"Journal of Visual Art Practice";"1470-2029";"Art Index";"H. W. Wilson Company";"2005";"4";"1";"2008";"7";"1";"0";"0";"0";"0";"0";"0";"8";"0"
"Journal of Visual Culture";"1470-4129";"Art Index";"H. W. Wilson Company";"2002";"0";"542";"2009";"8";"1";"0";"0";"0";"0";"0";"0";"30";"0"
"Jump Cut";"0146-5546";"Art Index";"H. W. Wilson Company";"1998";"0";"42";"2000";"43";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Konsthistorisk Tidskrift";"0023-3609";"Art Index";"H. W. Wilson Company";"1982";"51";"3";"2009";"78";"1";"0";"0";"0";"0";"0";"0";"141";"0"
"Koreana";"1016-0744";"Art Index";"H. W. Wilson Company";"1998";"12";"1";"2009";"23";"2";"0";"0";"0";"0";"0";"0";"64";"0"
"Kunst & Museumjournaal";"0924-5251";"Art Index";"H. W. Wilson Company";"1990";"1";"4";"1996";"7";"1-3";"0";"0";"0";"0";"0";"0";"61";"0"
"Kunstforum International";"0177-3674";"Art Index";"H. W. Wilson Company";"1994";"0";"125";"2009";"0";"197";"0";"0";"0";"0";"0";"0";"83";"0"
"Kunsthandwerk & Design";"";"Art Index";"H. W. Wilson Company";"2003";"0";"1";"2009";"0";"3";"0";"0";"0";"0";"0";"0";"38";"0"
"Kunstiteaduslikke Uurimusi";"1406-2860";"Art Index";"H. W. Wilson Company";"2003";"0";"4";"2008";"17";"4";"0";"0";"0";"0";"0";"0";"21";"0"
"L'Architecture d'Aujourd'hui";"0003-8695";"Art Index";"H. W. Wilson Company";"1984";"0";"231";"2007";"0";"372";"0";"0";"0";"0";"0";"0";"189";"0"
"L'Architettura";"0003-8830";"Art Index";"H. W. Wilson Company";"1984";"0";"236";"2003";"93";"1";"0";"0";"0";"0";"0";"0";"174";"0"
"L'Oeil (Lausanne, Switzerland)";"0029-862X";"Art Index";"H. W. Wilson Company";"1984";"0";"344";"2009";"0";"613";"0";"0";"0";"0";"0";"0";"337";"0"
