"Title";"ISSN";"Database Name";"Database Producer";"Citation Begin Year";"Citation Begin Volume";"Citation Begin Issue";"Citation Most Recent Year";"Citation Most Recent Volume";"Citation Most Recent Issue";"Fulltext Begin Year";"Fulltext Begin Volume";"Fulltext Begin Issue";"Fulltext Most Recent Year";"Fulltext Most Recent Volume";"Fulltext Most Recent Issue";"Total Number of Issues";"Total Number of Fulltext Issues"
"Bulletin de la Societe prehistorique francaise. Etudes";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1968";"65";"2";"1981";"78";"10/12";"0";"0";"0";"0";"0";"0";"21";"0"
"Bulletin de la Societe royale belge d'Anthropologie et de Prehistoire";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1960";"71";"0";"1988";"99";"0";"0";"0";"0";"0";"0";"0";"28";"0"
"Bulletin de la Societe suisse des Americanistes";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1972";"36";"0";"2002";"66/67";"0";"0";"0";"0";"0";"0";"0";"30";"0"
"Bulletin de la Societe suisse des Americanistes";"0582-1592";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2004";"68";"0";"2004";"68";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin de liaison. Centre universitaire de Recherches de Developpement, Universite d'Abidjan";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1970";"1";"0";"1971";"2";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Bulletin der Schweizerischen Gesellschaft fur Anthropologie und Ethnologie";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"39";"0";"1971";"48";"0";"0";"0";"0";"0";"0";"0";"10";"0"
"Bulletin des Seances. Academie Royale des Sciences d'Outre-Mer (New Series)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1995";"41";"1";"1996";"42";"4";"0";"0";"0";"0";"0";"0";"6";"0"
"Bulletin des seances. Academie Royale des Sciences d'Outre-Mer (New Series)";"0001-4176";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1999";"45";"1";"2007";"53";"4";"0";"0";"0";"0";"0";"0";"28";"0"
"Bulletin des seances. Academie royale des Sciences d'outre-mer, Brussels";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"8";"6";"1993";"39";"4";"0";"0";"0";"0";"0";"0";"64";"0"
"Bulletin du Bureau national d'Ethnologie";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1984";"0";"0";"1985";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Bulletin du Bureau national d'Ethnologie";"0256-355X";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1985";"0";"1";"1998";"1-2";"135-51";"0";"0";"0";"0";"0";"0";"14";"0"
"Bulletin du Bureau national d'Ethnologie (Haiti)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1986";"1/2";"0";"1987";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Bulletin du Centre Genevois d'Anthropologie";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1988";"0";"0";"1995";"5";"37-52";"0";"0";"0";"0";"0";"0";"18";"0"
"Bulletin du Musee d'Anthropologie prehistorique de Monaco";"0544-7631";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1955";"0";"2";"2007";"0";"47";"0";"0";"0";"0";"0";"0";"62";"0"
"Bulletin du Musee d'Anthropologie prehistorique de Monaco";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1960";"9";"0";"2004";"44";"0";"0";"0";"0";"0";"0";"0";"30";"0"
"Bulletin du musee ethnographique de Belgrade";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1981";"45";"0";"1981";"45";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin du Musee ethnographique de Beograd";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1961";"24";"0";"1987";"51";"0";"0";"0";"0";"0";"0";"0";"23";"0"
"Bulletin et memoires de la Societe d'Anthropologie de Paris (Nouvelle Serie)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1998";"10";"3/4";"1998";"10";"3/4";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin Institut de sociologie Bruxelles";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"0";"0";"1993";"1/4";"0";"0";"0";"0";"0";"0";"0";"66";"0"
"Bulletin mensuel de la Societe Linneenne de Lyon";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"31";"3-5";"1991";"60";"0";"0";"0";"0";"0";"0";"0";"37";"0"
"Bulletin of information on computing in anthropology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1992";"8";"0";"1992";"8";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of Latin American research";"0261-3050";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1997";"16";"1";"2009";"28";"2";"0";"0";"0";"0";"0";"0";"37";"0"
"Bulletin of Latin American research";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1981";"0";"0";"2005";"24";"1";"0";"0";"0";"0";"0";"0";"24";"0"
"Bulletin of the American Schools of Oriental Research";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"168";"0";"1999";"313";"75-86";"0";"0";"0";"0";"0";"0";"148";"0"
"Bulletin of the American Schools of Oriental Research";"0003-097X";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1926";"21";"0";"2009";"31";"1";"0";"0";"0";"0";"0";"0";"197";"0"
"Bulletin of the American Schools of Oriental Studies";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1970";"200";"0";"1970";"200";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of the anthropological Survey of India";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"11";"2";"1982";"31";"3/4";"0";"0";"0";"0";"0";"0";"45";"0"
"Bulletin of the Archaeological Society of Connecticut";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1989";"52";"0";"1991";"54";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Bulletin of the Cultural Research Institute";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"1";"2";"1982";"15";"1/2";"0";"0";"0";"0";"0";"0";"23";"0"
"Bulletin of the Department of Anthropology (Taiwan)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1989";"45";"0";"1997";"52";"i-iv";"0";"0";"0";"0";"0";"0";"20";"0"
"Bulletin of the Department of Anthropology (Taiwan)";"0077-5843";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1981";"0";"42";"2004";"62";"0";"0";"0";"0";"0";"0";"0";"29";"0"
"Bulletin of the Department of Anthropology (Taiwan)";"0077-5483";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2004";"0";"63";"2007";"67";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"Bulletin of the Department of Anthropology, Gauhati University";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1972";"1";"0";"1976";"5";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"Bulletin of the Department of Archaeology and Anthropology National Taiwan University";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1961";"17/18";"0";"1992";"48";"0";"0";"0";"0";"0";"0";"0";"19";"0"
"Bulletin of the Department of Ethnology and Sociology National Chengchi University Taipei";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1975";"13";"0";"1975";"13";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of the Department of Ethnology and Sociology, National Chengchi University Taipei";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1975";"13";"0";"1975";"13";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of the Department of Ethnology, National Changchi University (Taipei)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"22";"1-40";"1996";"22";"269-76";"0";"0";"0";"0";"0";"0";"8";"0"
"Bulletin of the Department of Ethnology, National Changchi University (Taipei)";"1024-8250";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2005";"24";"0";"2008";"27";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Bulletin of the Department of Ethnology, National Changchi University (Taiwan)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1998";"23";"7-48";"1998";"23";"221-8";"0";"0";"0";"0";"0";"0";"8";"0"
"Bulletin of the Ethnographic Museum in Beograd";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1986";"50";"0";"1986";"50";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of the Ethnology Society China";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"3";"0";"1963";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of the Graduate Institute of Nationalities";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1997";"21";"1-52";"1997";"21";"211-21";"0";"0";"0";"0";"0";"0";"8";"0"
"Bulletin of the Hokkaido Museum of Northern Peoples";"0918-3159";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1999";"8";"0";"2006";"15";"0";"0";"0";"0";"0";"0";"0";"22";"0"
"Bulletin of the Hokkaido Museum of Northern Peoples";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1992";"1";"0";"1997";"6";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Bulletin of the Indo-Pacific Prehistory Association";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2004";"24";"0";"2004";"24";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of the Indo-Pacific Prehistory Association";"0156-1316";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1980";"2";"0";"2008";"28";"0";"0";"0";"0";"0";"0";"0";"72";"0"
"Bulletin of the Institute of China Border Area Studies";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1988";"0";"0";"1988";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of the Institute of Ethnology (Taipei)";"0001-3935";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1957";"3";"0";"2000";"90";"0";"0";"0";"0";"0";"0";"0";"88";"0"
"Bulletin of the Institute of Ethnology (Taipei)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1991";"72";"0";"1993";"76";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"Bulletin of the Institute of Ethnology Academy Sinica";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"13";"0";"1982";"53";"0";"0";"0";"0";"0";"0";"0";"41";"0"
"Bulletin of the Institute of Ethnology Taipei";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1994";"77";"0";"1994";"77";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of the Institute of social Research University of Zambia";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1966";"1";"0";"1969";"4";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Bulletin of the international committee on urgent anthropological and ethnological research";"0538-5865";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1981";"0";"23";"2003";"42-43";"0";"0";"0";"0";"0";"0";"0";"7";"0"
"Bulletin of the International Committee on Urgent Anthropological and Ethnological Research";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1961";"4";"0";"1997";"39";"227-43";"0";"0";"0";"0";"0";"0";"63";"0"
"Bulletin of the International String Figure Association";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2003";"10";"0";"2003";"10";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of the International String Figure Association";"1076-7886";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1995";"70";"0";"2007";"14";"0";"0";"0";"0";"0";"0";"0";"45";"0"
"Bulletin of the National Museum of Ethnology (Osaka)";"0385-180X";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1001";"10";"4";"2009";"33";"4";"0";"0";"0";"0";"0";"0";"103";"0"
"Bulletin of the National Museum of Ethnology (Osaka)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1991";"16";"3";"2005";"29";"3";"0";"0";"0";"0";"0";"0";"18";"0"
"Bulletin of the National Museum of Ethnology Osaka";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1977";"2";"3";"1977";"2";"3";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin of the National Museum of Ethnology. Oasaka";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1993";"18";"4";"1997";"22";"2";"0";"0";"0";"0";"0";"0";"5";"0"
"Bulletin of the National Museum of Ethnology. Osaka";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1976";"1";"1";"1991";"16";"0";"0";"0";"0";"0";"0";"0";"50";"0"
"Bulletin of the National Museum of Ethnology: special issue. Osaka";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1986";"0";"0";"1992";"17";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Bulletin of the National Museum of Natural Science (Taichung)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1989";"1";"0";"1998";"11";"67-99";"0";"0";"0";"0";"0";"0";"5";"0"
"Bulletin of the National Science Museum: Series D anthropology";"0385-3039";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1975";"1";"0";"2006";"32";"0";"0";"0";"0";"0";"0";"0";"35";"0"
"Bulletin of the National Science Museum: Series D anthropology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1991";"17";"0";"1998";"24";"49-59";"0";"0";"0";"0";"0";"0";"12";"0"
"Bulletin of the Oklahoma Anthropological Society";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1989";"38";"0";"1990";"39";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Bulletin of the School of Oriental and African Studies";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"26";"1";"1995";"58";"2";"0";"0";"0";"0";"0";"0";"75";"0"
"Bulletin of the School of Oriental and African Studies (London)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"59";"2";"2005";"68";"1";"0";"0";"0";"0";"0";"0";"6";"0"
"Bulletin of the School of Oriental and African Studies (London)";"0041-977X";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1979";"42";"3";"2009";"72";"2";"0";"0";"0";"0";"0";"0";"79";"0"
"Bulletin of the Texas Archeological Society";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1964";"35";"0";"1992";"63";"0";"0";"0";"0";"0";"0";"0";"27";"0"
"Bulletin of the tribal research Institute Chhindwara";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"2";"2-3(1)";"1964";"4";"1";"0";"0";"0";"0";"0";"0";"3";"0"
"Bulletin of the tribal research Institute Chhindwara NS";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"2";"1";"1962";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin publie pour l'Association des Amis du Musee Barbier-Muller";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1984";"22";"0";"1986";"33";"0";"0";"0";"0";"0";"0";"0";"9";"0"
"Bulletin. Middle East Studies Association of North America";"0026-3184";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"30";"2";"2004";"38";"1";"0";"0";"0";"0";"0";"0";"13";"0"
"Bulletin. Middle East Studies Association of North America";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1991";"25";"1";"1999";"33";"2";"0";"0";"0";"0";"0";"0";"7";"0"
"Bulletin. Middle East Studies Association of North America, University of Arizona, Tucson AZ";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1978";"12";"1";"1994";"28";"2";"0";"0";"0";"0";"0";"0";"12";"0"
"Bulletin. The Institute of Ethnology, Academia Sinica (Taipei)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1982";"54";"0";"1991";"71";"0";"0";"0";"0";"0";"0";"0";"17";"0"
"Bulletin: Journal of the New York State Archaeological Association";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1990";"100";"0";"1994";"108";"0";"0";"0";"0";"0";"0";"0";"9";"0"
"Bulletin: journal of the New York State Archeological Association";"1046-2368";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1955";"5";"0";"2007";"0";"123";"0";"0";"0";"0";"0";"0";"64";"0"
"Bulletins et memoires de la Societe d'Anthropologie de Paris";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"Ser.";"3";"1993";"5";"3/4";"0";"0";"0";"0";"0";"0";"135";"0"
"Bulletins et memoires de la Societe d'Anthropologie de Paris (Nouvelle Serie)";"0037-8984";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1899";"4";"10";"2000";"12";"3-4";"0";"0";"0";"0";"0";"0";"178";"0"
"Bulletins et memoires de la Societe d'Anthropologie de Paris (Nouvelle Serie)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1995";"7";"3/4";"1997";"9";"1/2";"0";"0";"0";"0";"0";"0";"4";"0"
"Bullettino di paletnologia italiana";"0392-5250";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1998";"98";"0";"2002";"93-94";"0";"0";"0";"0";"0";"0";"0";"19";"0"
"Bullettino di paletnologia italiana";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1960";"69/70";"0";"1995";"86";"4";"0";"0";"0";"0";"0";"0";"8";"0"
"Bullettino di paletnologia italiana NS";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1960";"13";"0";"1971";"22";"0";"0";"0";"0";"0";"0";"0";"12";"0"
"By og Bygd";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"16";"0";"1987";"32";"0";"0";"0";"0";"0";"0";"0";"16";"0"
"CAAN: computer-assisted anthropology news";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1986";"0";"0";"1989";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Cadernos de estudos sociais";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1985";"0";"0";"1998";"14";"2";"0";"0";"0";"0";"0";"0";"12";"0"
"Cadernos de estudos sociais";"0102-4248";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1995";"11";"1";"2006";"22";"2";"0";"0";"0";"0";"0";"0";"17";"0"
"Cahiers d'anthropologie";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1976";"1";"0";"1976";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Cahiers d'anthropologie et biometrie humaine";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1983";"0";"0";"1993";"11";"3/4";"0";"0";"0";"0";"0";"0";"22";"0"
"Cahiers d'etudes africaines";"0008-0055";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1960";"1";"2";"2008";"0";"192";"0";"0";"0";"0";"0";"0";"169";"0"
"Cahiers d'etudes africaines";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"3";"1";"2004";"176";"0";"0";"0";"0";"0";"0";"0";"118";"0"
"Cahiers de litterature orale";"0396-891X";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"39-40";"0";"2007";"61";"0";"0";"0";"0";"0";"0";"0";"18";"0"
"Cahiers de musiques traditionelles";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2003";"16";"0";"2005";"17";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Cahiers de musiques traditionnelles";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1990";"3";"0";"2006";"19";"0";"0";"0";"0";"0";"0";"0";"16";"0"
"Cahiers de Tunisie";"0008-0012";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"49";"175";"2004";"56";"189-90";"0";"0";"0";"0";"0";"0";"14";"0"
"Cahiers de Tunisie";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1961";"9";"0";"1995";"48";"168";"0";"0";"0";"0";"0";"0";"49";"0"
"Cahiers des Ameriques latines";"0008-0020";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1995";"20";"0";"2006";"53";"3";"0";"0";"0";"0";"0";"0";"34";"0"
"Cahiers des Ameriques latines";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1985";"0";"0";"1997";"24";"0";"0";"0";"0";"0";"0";"0";"14";"0"
"Cahiers des Ameriques latines (Nouvelle Serie)";"1141-7161";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1999";"31-32";"0";"1999";"31-32";"279-88";"0";"0";"0";"0";"0";"0";"5";"0"
"Cahiers des arts et traditions populaires";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1987";"0";"0";"1996";"11";"66-57";"0";"0";"0";"0";"0";"0";"6";"0"
"Cahiers des arts et traditions populaires";"0330-6860";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1998";"12";"0";"2001";"13";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Cahiers des religions africaines";"0008-0047";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1979";"0";"0";"2001";"32";"63-64";"0";"0";"0";"0";"0";"0";"5";"0"
"Cahiers des religions africaines";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1968";"2";"3";"1992";"25/6";"49/52";"0";"0";"0";"0";"0";"0";"36";"0"
"Cahiers du Centre d'Etudes et de Recherches ethnologiques Universite de Bordeaux II";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1973";"2";"0";"1982";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Cahiers ethnologiques";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1983";"0";"0";"1999";"21";"0";"0";"0";"0";"0";"0";"0";"24";"0"
"Cahiers francaise d'Anthropologie";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"1";"1";"1964";"2";"1";"0";"0";"0";"0";"0";"0";"2";"0"
"Cahiers ligures de prehistoire et d'archeologie";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"12";"1";"1976";"25/6";"0";"0";"0";"0";"0";"0";"0";"16";"0"
"Cakalele";"1053-2285";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1999";"10";"0";"2000";"11";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Cakalele";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1997";"8";"1-25";"2000";"11";"0";"0";"0";"0";"0";"0";"0";"6";"0"
"CAM the cultural anthropology methods Newsletter";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1989";"0";"0";"1995";"7";"2";"0";"0";"0";"0";"0";"0";"8";"0"
"CAM: cultural anthropology methods";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1994";"6";"1";"1997";"9";"2";"0";"0";"0";"0";"0";"0";"5";"0"
"Camak";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1983";"1";"0";"1984";"3";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Cambridge anthropology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1973";"1";"1";"1996";"19";"3";"0";"0";"0";"0";"0";"0";"46";"0"
"Cambridge anthropology";"0305-7674";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1999";"21";"1";"2009";"28";"2";"0";"0";"0";"0";"0";"0";"25";"0"
"Cambridge archaeological journal";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1991";"1";"1";"2005";"15";"1";"0";"0";"0";"0";"0";"0";"15";"0"
"Cambridge archaeological journal";"0959-7743";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1991";"1";"1";"2009";"19";"1";"0";"0";"0";"0";"0";"0";"41";"0"
"Canadian Association of African Studies newsletter";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1992";"0";"0";"1993";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Canadian ethnic studies";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1969";"1";"2";"2004";"36";"1";"0";"0";"0";"0";"0";"0";"56";"0"
"Canadian journal of African studies";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1972";"6";"1";"1994";"28";"3";"0";"0";"0";"0";"0";"0";"57";"0"
"Canadian journal of anthropology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1970";"1";"2";"1986";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0"
"Canadian journal of archaeology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1977";"0";"0";"2004";"28";"2";"0";"0";"0";"0";"0";"0";"23";"0"
