"Title";"ISSN";"Database Name";"Database Producer";"Citation Begin Year";"Citation Begin Volume";"Citation Begin Issue";"Citation Most Recent Year";"Citation Most Recent Volume";"Citation Most Recent Issue";"Fulltext Begin Year";"Fulltext Begin Volume";"Fulltext Begin Issue";"Fulltext Most Recent Year";"Fulltext Most Recent Volume";"Fulltext Most Recent Issue";"Total Number of Issues";"Total Number of Fulltext Issues"
"Arcitect and building news";"";"AveryIndex";"University of California";"1945";"183";"0";"1945";"183";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arcus: Zeitschrift fu?r Architektur und Naturwissenschaft";"0724-2034";"AveryIndex";"University of California";"1983";"0";"1";"1986";"0";"6";"0";"0";"0";"0";"0";"0";"23";"0"
"Arcus; Zeitschrift fu?r Architektur und Naturwissenschaft";"0424-2034";"AveryIndex";"University of California";"1985";"0";"4";"1985";"0";"4";"0";"0";"0";"0";"0";"0";"1";"0"
"Area";"";"AveryIndex";"University of California";"1981";"1";"1";"1989";"9";"48";"0";"0";"0";"0";"0";"0";"37";"0"
"Arena : Architectural Association journal";"";"AveryIndex";"University of California";"1938";"53";"0";"1967";"82";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"Arena : the Architectural Association journal";"";"AveryIndex";"University of California";"1966";"82";"0";"1968";"83";"922";"0";"0";"0";"0";"0";"0";"3";"0"
"Arena/Interbuild";"";"AveryIndex";"University of California";"1967";"83/14";"0";"1968";"83";"919";"0";"0";"0";"0";"0";"0";"8";"0"
"Arena: Architectural Association journal";"";"AveryIndex";"University of California";"1966";"82";"0";"1967";"82";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Arhitectura";"";"AveryIndex";"University of California";"1965";"13";"4";"1970";"18";"4";"0";"0";"0";"0";"0";"0";"11";"0"
"Arhitectura R.P.R.";"";"AveryIndex";"University of California";"1965";"13";"1";"1965";"13";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Arhitektura";"";"AveryIndex";"University of California";"1933";"3";"3-4";"1973";"28";"145";"0";"0";"0";"0";"0";"0";"11";"0"
"Arhitektura (Zagreb)";"";"AveryIndex";"University of California";"1973";"0";"146-147";"1974";"0";"149";"0";"0";"0";"0";"0";"0";"5";"0"
"Arhitektura urbanizam";"";"AveryIndex";"University of California";"1960";"0";"3";"1971";"0";"67";"0";"0";"0";"0";"0";"0";"29";"0"
"Aris";"";"AveryIndex";"University of California";"1976";"0";"0";"1976";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Aris";"0044-5711";"AveryIndex";"University of California";"1976";"0";"0";"1976";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkheologicheskii?? vii eilstnik, izdavaemyi?? Moskovskim arkheologcheskim obshchestvom";"";"AveryIndex";"University of California";"1867";"1";"0";"1867";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkheologiia";"0324-1203";"AveryIndex";"University of California";"1982";"24";"3-4";"1982";"24";"3-4";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkhi??tektura SSSR";"";"AveryIndex";"University of California";"1938";"6";"6";"1938";"6";"6";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkhitektura = [Architecture in Israel]";"";"AveryIndex";"University of California";"1966";"0";"2";"1966";"0";"4";"0";"0";"0";"0";"0";"0";"3";"0"
"Arkhitektura Leningrada";"";"AveryIndex";"University of California";"1937";"2";"0";"1937";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkhitektura SSSR";"";"AveryIndex";"University of California";"1928";"0";"8";"1975";"0";"10";"0";"0";"0";"0";"0";"0";"45";"0"
"Arkinka";"1815-9273";"AveryIndex";"University of California";"2006";"10";"126";"2008";"12";"153";"0";"0";"0";"0";"0";"0";"26";"0"
"Arkinka";"";"AveryIndex";"University of California";"2006";"10";"122";"2006";"10";"125";"0";"0";"0";"0";"0";"0";"4";"0"
"Arkiteken (Finland)";"";"AveryIndex";"University of California";"1940";"0";"5-6";"1940";"0";"7-8";"0";"0";"0";"0";"0";"0";"2";"0"
"Arkitekt";"";"AveryIndex";"University of California";"1935";"0";"11-12";"1944";"14";"1-2";"0";"0";"0";"0";"0";"0";"38";"0"
"Arkitekt.";"";"AveryIndex";"University of California";"1940";"10";"9-10";"1940";"10";"9-10";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekt. Turkey";"";"AveryIndex";"University of California";"1935";"0";"11-12";"1944";"14";"0";"0";"0";"0";"0";"0";"0";"52";"0"
"Arkitekten";"0004-198X";"AveryIndex";"University of California";"1975";"77";"4";"1995";"97";"18";"0";"0";"0";"0";"0";"0";"193";"0"
"Arkitekten";"0004-158X";"AveryIndex";"University of California";"1994";"96";"14";"1994";"96";"14";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten";"";"AveryIndex";"University of California";"1934";"31";"7";"1995";"97";"8";"0";"0";"0";"0";"0";"0";"52";"0"
"Arkitekten (Finland)";"";"AveryIndex";"University of California";"1937";"0";"10";"1937";"0";"10";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten [Finland]";"";"AveryIndex";"University of California";"1938";"0";"5";"1939";"0";"2";"0";"0";"0";"0";"0";"0";"3";"0"
"Arkitekten ugehaefte";"";"AveryIndex";"University of California";"1956";"58";"26";"1956";"58";"29";"0";"0";"0";"0";"0";"0";"2";"0"
"Arkitekten. (Finland)";"";"AveryIndex";"University of California";"1939";"0";"2";"1939";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. [Finland]";"";"AveryIndex";"University of California";"1938";"0";"2";"1939";"0";"10";"0";"0";"0";"0";"0";"0";"4";"0"
"Arkitekten. Copenhagen";"";"AveryIndex";"University of California";"1934";"36";"0";"1974";"76";"22";"0";"0";"0";"0";"0";"0";"3";"0"
"Arkitekten. Denmark";"";"AveryIndex";"University of California";"1930";"32";"0";"1977";"79";"17";"0";"0";"0";"0";"0";"0";"242";"0"
"Arkitekten. Denmark. Manedsha?fte";"";"AveryIndex";"University of California";"1952";"54";"0";"1952";"54";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. Denmark. Manedshaefte";"";"AveryIndex";"University of California";"1950";"52";"0";"1955";"57";"10-11";"0";"0";"0";"0";"0";"0";"8";"0"
"Arkitekten. Finland";"";"AveryIndex";"University of California";"1935";"0";"5";"1968";"65";"8";"0";"0";"0";"0";"0";"0";"64";"0"
"Arkitekten. Helsingfors";"";"AveryIndex";"University of California";"1934";"0";"11";"1975";"72";"1";"0";"0";"0";"0";"0";"0";"25";"0"
"Arkitekten. K ibenhavn";"";"AveryIndex";"University of California";"1940";"42";"11";"1961";"63";"12";"0";"0";"0";"0";"0";"0";"13";"0"
"Arkitekten. K ibenhavn. Jubilaeumshaefte";"";"AveryIndex";"University of California";"1948";"50";"0";"1948";"50";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. K ibenhavn. Manedshaefte";"";"AveryIndex";"University of California";"1954";"56";"0";"1954";"56";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. K ibnhavn";"";"AveryIndex";"University of California";"1941";"43";"8";"1965";"67";"25";"0";"0";"0";"0";"0";"0";"11";"0"
"Arkitekten. Kobenhavn";"";"AveryIndex";"University of California";"1962";"64";"11";"1962";"64";"11";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. Kobenhavn.";"";"AveryIndex";"University of California";"1948";"50";"0";"1948";"50";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. Mandeshaefte. K ibnhavn";"";"AveryIndex";"University of California";"1950";"52";"0";"1950";"52";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. Manedshaefte";"";"AveryIndex";"University of California";"1949";"51";"7-8";"1956";"58";"10";"0";"0";"0";"0";"0";"0";"24";"0"
"Arkitekten. Manedshaefte. Denmark";"";"AveryIndex";"University of California";"1950";"52";"0";"1950";"52";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. Manedshaefte. K ibehavn.";"";"AveryIndex";"University of California";"1955";"57";"0";"1955";"57";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. Manedshaefte. K ibenhavn";"";"AveryIndex";"University of California";"1950";"52";"0";"1955";"57";"0";"0";"0";"0";"0";"0";"0";"7";"0"
"Arkitekten. Manedshaefte. K ibenhavn.";"";"AveryIndex";"University of California";"1950";"52";"0";"1950";"52";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. Manedshaefte. Kobenhavn";"";"AveryIndex";"University of California";"1950";"52";"0";"1950";"52";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. Manedshefte. K ibenhavn";"";"AveryIndex";"University of California";"1951";"53";"0";"1951";"53";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitekten. Ugehaefte";"";"AveryIndex";"University of California";"1949";"51";"43";"1956";"58";"49-50";"0";"0";"0";"0";"0";"0";"25";"0"
"Arkitekten. Ugehaefte. K ibenhavn";"";"AveryIndex";"University of California";"1955";"57";"6";"1955";"57";"8";"0";"0";"0";"0";"0";"0";"2";"0"
"Arkitekten. Ugehaefte. K ibnhavn";"";"AveryIndex";"University of California";"1955";"57";"0";"1955";"57";"7";"0";"0";"0";"0";"0";"0";"2";"0"
"Arkitektta?vlingar";"";"AveryIndex";"University of California";"1987";"0";"12";"1988";"0";"19";"0";"0";"0";"0";"0";"0";"2";"0"
"Arkitektur";"";"AveryIndex";"University of California";"1959";"59";"0";"1975";"19";"5";"0";"0";"0";"0";"0";"0";"7";"0"
"Arkitektur";"0004-2013";"AveryIndex";"University of California";"1975";"19";"5";"2008";"52";"8";"0";"0";"0";"0";"0";"0";"196";"0"
"Arkitektur (Denmark)";"";"AveryIndex";"University of California";"1971";"15";"2";"1971";"15";"2";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitektur (Sweden)";"";"AveryIndex";"University of California";"1967";"67";"0";"1974";"74";"9";"0";"0";"0";"0";"0";"0";"3";"0"
"Arkitektur : Swedish architectural review";"";"AveryIndex";"University of California";"1971";"71";"0";"1971";"71";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitektur : the Swedish architectural review";"";"AveryIndex";"University of California";"1959";"59";"0";"1978";"78";"6";"0";"0";"0";"0";"0";"0";"88";"0"
"Arkitektur : the Swedish review of architecture";"";"AveryIndex";"University of California";"1965";"65";"0";"1975";"75";"9";"0";"0";"0";"0";"0";"0";"10";"0"
"Arkitektur DK";"";"AveryIndex";"University of California";"1979";"2";"2";"1996";"40";"4-5";"0";"0";"0";"0";"0";"0";"8";"0"
"Arkitektur. Denmark";"";"AveryIndex";"University of California";"1957";"1";"0";"1978";"22";"8";"0";"0";"0";"0";"0";"0";"130";"0"
"Arkitektur. K ibenhavn";"";"AveryIndex";"University of California";"1960";"4";"0";"1961";"5";"1";"0";"0";"0";"0";"0";"0";"2";"0"
"Arkitektur. K ibnhavn";"";"AveryIndex";"University of California";"1961";"5";"1";"1961";"5";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitektur. Sweden";"";"AveryIndex";"University of California";"1967";"67";"0";"1974";"74";"9";"0";"0";"0";"0";"0";"0";"4";"0"
"Arkitektur. The Swedish architectural review";"";"AveryIndex";"University of California";"1959";"59";"0";"1959";"59";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkitektur: the Swedish review of architecture";"0004-2010";"AveryIndex";"University of California";"2005";"105";"1";"2005";"105";"2";"0";"0";"0";"0";"0";"0";"2";"0"
"Arkitektur: the Swedish review of architecture";"";"AveryIndex";"University of California";"1975";"75";"9";"1995";"95";"7";"0";"0";"0";"0";"0";"0";"6";"0"
"Arkitektur; The Swedish review of architecture";"0004-2021";"AveryIndex";"University of California";"1975";"75";"1";"2008";"108";"6";"0";"0";"0";"0";"0";"0";"205";"0"
"Arkitektur; the Swedish review of architecture";"";"AveryIndex";"University of California";"1975";"75";"9";"1978";"78";"10";"0";"0";"0";"0";"0";"0";"2";"0"
"Arkitekturtidsskriftet B";"0105-7820";"AveryIndex";"University of California";"1993";"0";"50";"1993";"0";"50";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkkitehti";"0783-3360";"AveryIndex";"University of California";"1988";"85";"6";"1988";"85";"6";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkkitehti";"0004-2129";"AveryIndex";"University of California";"1975";"0";"8";"1986";"0";"5";"0";"0";"0";"0";"0";"0";"32";"0"
"Arkkitehti";"";"AveryIndex";"University of California";"1938";"0";"7";"2001";"98";"1";"0";"0";"0";"0";"0";"0";"16";"0"
"Arkkitehti";"0783-3600";"AveryIndex";"University of California";"2000";"97";"2";"2000";"97";"2";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkkitehti";"0783-3660";"AveryIndex";"University of California";"1975";"72";"0";"2008";"105";"5";"0";"0";"0";"0";"0";"0";"88";"0"
"Arkkitehti (Finland)";"";"AveryIndex";"University of California";"1938";"0";"6";"1977";"74";"1";"0";"0";"0";"0";"0";"0";"6";"0"
"Arkkitehti : Finnish archeological review";"";"AveryIndex";"University of California";"1975";"72";"6";"1975";"72";"6";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkkitehti : Finnish architectural review";"";"AveryIndex";"University of California";"1969";"66";"6";"1978";"76";"2";"0";"0";"0";"0";"0";"0";"27";"0"
"Arkkitehti : the Finnish architectural review";"";"AveryIndex";"University of California";"1974";"71";"8";"1974";"71";"8";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkkitehti Arkitekten";"";"AveryIndex";"University of California";"1952";"0";"2";"1965";"0";"7-8";"0";"0";"0";"0";"0";"0";"37";"0"
"Arkkitehti Arkitekten. Finland";"";"AveryIndex";"University of California";"1938";"0";"12";"1962";"0";"7-8";"0";"0";"0";"0";"0";"0";"11";"0"
"Arkkitehti Arkitekten. Helsingfors";"";"AveryIndex";"University of California";"1935";"0";"0";"1975";"72";"3";"0";"0";"0";"0";"0";"0";"69";"0"
"Arkkitehti-Arkitekten";"";"AveryIndex";"University of California";"1953";"0";"4-5";"1958";"0";"9";"0";"0";"0";"0";"0";"0";"3";"0"
"Arkkitehti: Finnish architectural review";"";"AveryIndex";"University of California";"1975";"72";"6";"1975";"72";"6";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkkitehtuurikilpailuja";"0066-7676";"AveryIndex";"University of California";"1986";"0";"5";"1986";"0";"5";"0";"0";"0";"0";"0";"0";"1";"0"
"Arkkitehtuurikilpailuja";"";"AveryIndex";"University of California";"1967";"0";"8";"1989";"0";"9";"0";"0";"0";"0";"0";"0";"39";"0"
"Arkkitehtuurikilpailuja : Architectural competitions in Finland";"";"AveryIndex";"University of California";"1970";"0";"8";"1970";"0";"8";"0";"0";"0";"0";"0";"0";"1";"0"
"Armitano Arte";"";"AveryIndex";"University of California";"1983";"0";"2";"1986";"0";"10";"0";"0";"0";"0";"0";"0";"8";"0"
"ARQ";"0716-0852";"AveryIndex";"University of California";"1983";"0";"8";"2008";"0";"69";"0";"0";"0";"0";"0";"0";"64";"0"
"ARQ : Architecture/Qu? ebec";"0710-1162";"AveryIndex";"University of California";"1984";"0";"22";"1996";"0";"89";"0";"0";"0";"0";"0";"0";"31";"0"
"ARQ : Architecture/Qu? ebec";"";"AveryIndex";"University of California";"1984";"0";"21";"1984";"0";"21";"0";"0";"0";"0";"0";"0";"1";"0"
"ARQ : Architecture/Que??bec";"0710-1163";"AveryIndex";"University of California";"1984";"0";"19";"1990";"0";"57";"0";"0";"0";"0";"0";"0";"14";"0"
"ARQ : Architecture/Que??bec";"";"AveryIndex";"University of California";"1984";"0";"21";"1984";"0";"21";"0";"0";"0";"0";"0";"0";"1";"0"
"Arq: architectural research quarterly";"1359-1355";"AveryIndex";"University of California";"1995";"1";"1";"2008";"12";"2";"0";"0";"0";"0";"0";"0";"39";"0"
"ARQ: la revue d'architecture";"1203-1488";"AveryIndex";"University of California";"1995";"0";"85";"2009";"0";"146";"0";"0";"0";"0";"0";"0";"58";"0"
"ARQ: La revue d'architecture";"";"AveryIndex";"University of California";"1996";"0";"89";"1996";"0";"89";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquine : revista internacional de arquitectura = international architecture magazine";"1405-6151";"AveryIndex";"University of California";"1997";"0";"1";"2008";"0";"45";"0";"0";"0";"0";"0";"0";"46";"0"
"Arquis ... Universidad de Palermo";"0328-2384";"AveryIndex";"University of California";"1998";"0";"15";"1999";"0";"16";"0";"0";"0";"0";"0";"0";"2";"0"
"Arquitecto Peruano";"";"AveryIndex";"University of California";"1939";"3";"0";"1969";"0";"353-354";"0";"0";"0";"0";"0";"0";"103";"0"
"Arquitectura";"";"AveryIndex";"University of California";"1929";"11";"0";"1991";"73";"288";"0";"0";"0";"0";"0";"0";"41";"0"
"Arquitectura (Cuba)";"";"AveryIndex";"University of California";"1946";"14";"0";"1966";"22";"336";"0";"0";"0";"0";"0";"0";"18";"0"
"Arquitectura Bis";"";"AveryIndex";"University of California";"1974";"0";"3";"1976";"0";"16";"0";"0";"0";"0";"0";"0";"6";"0"
"Arquitectura Cuba";"";"AveryIndex";"University of California";"1947";"15";"0";"1971";"24";"339";"0";"0";"0";"0";"0";"0";"6";"0"
"Arquitectura mexicana :";"";"AveryIndex";"University of California";"1994";"0";"1";"1997";"0";"5";"0";"0";"0";"0";"0";"0";"5";"0"
"Arquitectura Mexico";"";"AveryIndex";"University of California";"1947";"0";"22";"1955";"11";"50";"0";"0";"0";"0";"0";"0";"2";"0"
"Arquitectura Portuguesa";"";"AveryIndex";"University of California";"1945";"38";"0";"1952";"45";"0";"0";"0";"0";"0";"0";"0";"12";"0"
"Arquitectura revista / FAU/UFRJ";"";"AveryIndex";"University of California";"1985";"1";"1";"1985";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquitectura viva";"0214-1256";"AveryIndex";"University of California";"1989";"0";"6";"2008";"0";"120";"0";"0";"0";"0";"0";"0";"111";"0"
"Arquitectura viva";"";"AveryIndex";"University of California";"1990";"0";"10";"1990";"0";"10";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquitectura y construccio??n";"";"AveryIndex";"University of California";"1917";"1";"0";"1948";"0";"13";"0";"0";"0";"0";"0";"0";"11";"0"
"Arquitectura y contruccion";"";"AveryIndex";"University of California";"1947";"0";"0";"1947";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquitectura y lo dema??s";"";"AveryIndex";"University of California";"1945";"1";"0";"1945";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquitectura y lo demas";"";"AveryIndex";"University of California";"1945";"1";"0";"1945";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquitectura y lo demos";"";"AveryIndex";"University of California";"1945";"1";"0";"1945";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquitectura, urbanismo, construccio??n, arte: AUCA";"0567-428X";"AveryIndex";"University of California";"1981";"0";"41";"1985";"0";"49";"0";"0";"0";"0";"0";"0";"10";"0"
"Arquitectura. Cuba";"";"AveryIndex";"University of California";"1944";"12";"0";"1944";"12";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquitectura. El Salvador";"";"AveryIndex";"University of California";"1962";"0";"2";"1962";"0";"3";"0";"0";"0";"0";"0";"0";"2";"0"
"Arquitectura. Madrid";"";"AveryIndex";"University of California";"1933";"15";"0";"1975";"17";"194-195";"0";"0";"0";"0";"0";"0";"73";"0"
"Arquitectura. Mexico";"";"AveryIndex";"University of California";"1916";"24";"0";"1971";"0";"104";"0";"0";"0";"0";"0";"0";"148";"0"
"Arquitectura. Montevideo";"";"AveryIndex";"University of California";"1947";"0";"215";"1947";"0";"215";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquitectura. Uruguay";"";"AveryIndex";"University of California";"1939";"24";"2";"1940";"25";"203";"0";"0";"0";"0";"0";"0";"2";"0"
"Arquitectura/Mexico";"0004-2684";"AveryIndex";"University of California";"1977";"16";"2";"1977";"16";"2";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquitectura: Arquitectura. Planeamento. Design. Construc?a??o. Equipamento.";"0004-2692";"AveryIndex";"University of California";"1984";"4";"152";"1984";"6";"153";"0";"0";"0";"0";"0";"0";"3";"0"
"Arquitectura: revista del Colegio Oficial de Arquitectos de Madrid";"0004-2706";"AveryIndex";"University of California";"1975";"0";"194-195";"1997";"0";"310";"0";"0";"0";"0";"0";"0";"28";"0"
"Arquitectura: revista del Colegio Oficial de Arquitectos de Madrid";"";"AveryIndex";"University of California";"1984";"65";"250";"1984";"65";"250";"0";"0";"0";"0";"0";"0";"1";"0"
"Arquitecturas bis";"";"AveryIndex";"University of California";"1974";"0";"2";"1976";"0";"15";"0";"0";"0";"0";"0";"0";"9";"0"
"Arquitecturas del sur";"0716-2677";"AveryIndex";"University of California";"1986";"0";"8";"1996";"12";"25";"0";"0";"0";"0";"0";"0";"16";"0"
"Arquitetura revista";"";"AveryIndex";"University of California";"1983";"1";"1";"1990";"8";"0";"0";"0";"0";"0";"0";"0";"9";"0"
"Arris: journal of the Southeast Chapter of the Society of Architectural Historians";"1048-5945";"AveryIndex";"University of California";"1993";"4";"0";"2007";"18";"0";"0";"0";"0";"0";"0";"0";"14";"0"
"Arris: journal of the Southeast Chapter of the Society of Architectural Historians";"";"AveryIndex";"University of California";"1989";"1";"0";"1992";"3";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Arris: journal of the Southeast Chapter of the Society of Architectural Historians";"7448-5945";"AveryIndex";"University of California";"2002";"13";"0";"2002";"13";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"ARS";"0716-3738";"AveryIndex";"University of California";"1987";"0";"8-9";"1989";"0";"11";"0";"0";"0";"0";"0";"0";"2";"0"
"Ars";"";"AveryIndex";"University of California";"1942";"1";"0";"1942";"1";"3";"0";"0";"0";"0";"0";"0";"3";"0"
"Ars : revista mensual";"";"AveryIndex";"University of California";"1942";"1";"0";"1942";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Ars Bavarica";"0341-8480";"AveryIndex";"University of California";"1983";"31-32";"0";"1989";"55-56";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"Ars bavarica";"";"AveryIndex";"University of California";"1973";"1";"1";"1982";"19-20";"0";"0";"0";"0";"0";"0";"0";"8";"0"
"Ars decorativa";"";"AveryIndex";"University of California";"1973";"1";"0";"1976";"0";"4";"0";"0";"0";"0";"0";"0";"3";"0"
"Ars hungarica";"0133-1531";"AveryIndex";"University of California";"1980";"8";"1";"1980";"8";"2";"0";"0";"0";"0";"0";"0";"2";"0"
"Ars islamica";"";"AveryIndex";"University of California";"1937";"4";"0";"1948";"13-14";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Ars orientalis";"0571-1371";"AveryIndex";"University of California";"1991";"21";"0";"2003";"33";"0";"0";"0";"0";"0";"0";"0";"9";"0"
"Ars orientalis";"";"AveryIndex";"University of California";"1970";"8";"0";"1990";"20";"0";"0";"0";"0";"0";"0";"0";"7";"0"
"Ars orientalis : the arts of Islam and the East";"";"AveryIndex";"University of California";"1954";"1";"0";"1970";"8";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Ars; umeleckohistoricka revue slovenskej akad? emie vied";"0044-9008";"AveryIndex";"University of California";"1977";"0";"1-4";"1988";"0";"3";"0";"0";"0";"0";"0";"0";"7";"0"
"Ars; umeleckohistoricka revue slovenskej akad? emie vied";"";"AveryIndex";"University of California";"1975";"0";"0";"1975";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Art";"";"AveryIndex";"University of California";"1871";"1";"0";"1894";"59";"0";"0";"0";"0";"0";"0";"0";"65";"0"
"Art &amp; antiques";"";"AveryIndex";"University of California";"1990";"0";"0";"1990";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Art &amp; antiques";"0195-8208";"AveryIndex";"University of California";"1980";"3";"5";"1996";"19";"1";"0";"0";"0";"0";"0";"0";"40";"0"
"Art &amp; artists";"";"AveryIndex";"University of California";"1977";"12";"139";"1980";"15";"3172";"0";"0";"0";"0";"0";"0";"7";"0"
"Art &amp; artists";"0004-3001";"AveryIndex";"University of California";"1978";"13";"7";"1986";"0";"232";"0";"0";"0";"0";"0";"0";"12";"0"
"Art &amp; design";"0267-3991";"AveryIndex";"University of California";"1985";"1";"1";"1996";"11";"11-12";"0";"0";"0";"0";"0";"0";"16";"0"
"Art &amp; life";"";"AveryIndex";"University of California";"1919";"11";"0";"1919";"11";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Art and archaeology";"";"AveryIndex";"University of California";"1914";"0";"0";"1944";"61";"0";"0";"0";"0";"0";"0";"0";"43";"0"
"Art and archaeology research papers";"";"AveryIndex";"University of California";"1973";"0";"4";"1973";"0";"4";"0";"0";"0";"0";"0";"0";"1";"0"
"Art and artists";"";"AveryIndex";"University of California";"1978";"13";"1";"1978";"13";"7";"0";"0";"0";"0";"0";"0";"2";"0"
"Art and decoration";"";"AveryIndex";"University of California";"1905";"19";"0";"1905";"19";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Art and letters";"";"AveryIndex";"University of California";"1889";"0";"0";"1950";"24";"1";"0";"0";"0";"0";"0";"0";"13";"0"
"Art and progress";"";"AveryIndex";"University of California";"1909";"1";"0";"1915";"6";"0";"0";"0";"0";"0";"0";"0";"13";"0"
"Art bulletin";"0272-8192";"AveryIndex";"University of California";"1917";"1";"3";"1918";"1";"4";"0";"0";"0";"0";"0";"0";"2";"0"
"Art chre??tien";"";"AveryIndex";"University of California";"1916";"0";"21-22";"1967";"0";"47-48";"0";"0";"0";"0";"0";"0";"32";"0"
"Art Criticism";"0195-4148";"AveryIndex";"University of California";"1987";"3";"2";"2004";"19";"1";"0";"0";"0";"0";"0";"0";"5";"0"
"Art d'aujourd'hui";"";"AveryIndex";"University of California";"1950";"0";"1";"1954";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Art d'e??glise";"0004-3095";"AveryIndex";"University of California";"1976";"0";"175";"1980";"49";"193";"0";"0";"0";"0";"0";"0";"8";"0"
"Art d'e??glise";"";"AveryIndex";"University of California";"1950";"0";"7";"1980";"0";"191";"0";"0";"0";"0";"0";"0";"103";"0"
"Art d'eglise";"";"AveryIndex";"University of California";"1953";"21";"0";"1953";"21";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Art d'iglise";"";"AveryIndex";"University of California";"1963";"31";"122";"1963";"31";"122";"0";"0";"0";"0";"0";"0";"1";"0"
"Art de??coratif";"";"AveryIndex";"University of California";"1906";"16";"0";"1914";"31";"0";"0";"0";"0";"0";"0";"0";"12";"0"
"Art digest";"";"AveryIndex";"University of California";"1926";"1";"0";"1930";"4";"8";"0";"0";"0";"0";"0";"0";"9";"0"
"Art dossier";"";"AveryIndex";"University of California";"1986";"0";"7";"1988";"0";"25";"0";"0";"0";"0";"0";"0";"6";"0"
"Art dossier";"0394-0179";"AveryIndex";"University of California";"1988";"0";"29";"1989";"0";"38";"0";"0";"0";"0";"0";"0";"7";"0"
"Art e dossier";"3394-0179";"AveryIndex";"University of California";"1989";"0";"37";"1989";"0";"37";"0";"0";"0";"0";"0";"0";"1";"0"
"Art e dossier";"";"AveryIndex";"University of California";"1988";"0";"20";"1988";"0";"27";"0";"0";"0";"0";"0";"0";"8";"0"
"Art et d'e??glise";"";"AveryIndex";"University of California";"1965";"0";"133";"1965";"0";"133";"0";"0";"0";"0";"0";"0";"1";"0"
"Art et de??coration";"";"AveryIndex";"University of California";"1897";"1";"0";"1965";"0";"133";"0";"0";"0";"0";"0";"0";"103";"0"
"Art et decoration";"";"AveryIndex";"University of California";"1936";"65";"0";"1946";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0"
